Tibetan,English
རིན་ཆེན་གདུགས་མཛེས་གསེར་གྱི་ཡུ་བ་ཅན། །ཁོར་ཡུག་རྒྱན་གྱི་རྣམ་པ་ཡིད་འོང་ལྡན། །དབྱིབས་ལེགས་བལྟ་ན་སྡུག་པ་བསྒྲེང་བ་ཡང་། །རྟག་ཏུ་ཐུབ་དབང་རྣམས་ལ་དབུལ་བར་བགྱི། །,"Beautiful precious parasols with golden handles,<br>Adorned with lovely ornaments around the rim,<br>Gracefully shaped and pleasing to behold when raised aloft,<br>I offer these constantly to the mighty sages."
དེ་ལས་གཞན་ཡང་མཆོད་པའི་ཚོགས། །རོལ་མོ་དབྱངས་སྙན་ཡིད་འོང་ལྡན། །སེམས་ཅན་སྔག་བསྔལ་ཚིམ་བྱེད་པའི། །སྤྲིན་རྣམས་སོ་སོར་གནས་གྱུར་ཅིག །,"Furthermore, may there be clouds of offerings:<br>Melodious music and pleasing songs,<br>Each appearing distinctly,<br>To satisfy and relieve the sufferings of sentient beings."
དམ་ཆོས་དཀོན་མཆོག་ཐམས་ཅད་དང་། །མཆོད་རྟེན་རྣམས་དང་སྐུ་གཟུགས་ལ། །རིན་ཆེན་མེ་ཏོག་ལ་སོགས་ཆར། །རྒྱུན་མི་འཆད་པར་འབབ་པར་ཤོག །,"tags:<br><br><t><br>May a continuous shower of precious flowers and other offerings<br>Unceasingly rain down upon<br>All the sacred Dharma jewels,<br>The stupas, and the holy images."
ཇི་ལྟར་འཇམ་དབྱངས་ལ་སོགས་པས། །རྒྱལ་བ་རྣམས་ལ་མཆོད་མཛད་པ། །དེ་བཞིན་བདག་གིས་དེ་བཞིན་གཤེགས། །མགོན་པོ་སྲས་དང་བཅས་རྣམས་མཆོད། །,"tags:<br><br><t><br>Just as Manjushri and others<br>Offered worship to the Victorious Ones,<br>In the same way, I offer worship<br>To the Tathagatas, the Protectors, along with their Sons."
ཡོན་ཏན་རྒྱ་མཚོ་རྣམས་ལ་བདག །བསྟོད་དབྱངས་ཡན་ལག་རྒྱ་མཚོས་བསྟོད། །,I praise the oceans of noble qualities<br>With oceans of melodious hymns of praise.
བསྟོད་དབྱངས་སྙན་སྤྲིན་དེ་དག་ལ། །ངེས་པར་ཀུན་དུ་འབྱུང་གྱུར་ཅིག །,tags:<br><br><t><br>May those melodious clouds of praise<br>Certainly arise everywhere.
དུས་གསུམ་གཤེགས་པའི་སངས་རྒྱས་ཀུན། །ཆོས་དང་ཚོགས་ཀྱི་མཆོག་བཅས་ལ། །ཞིང་རྡུལ་ཀུན་གྱི་གྲངས་སྙེད་ཀྱི། །ལུས་བཏུད་པ་ཡིས་བདག་ཕྱག་འཚལ། །,"tags:<br><br><t><br>To all the Buddhas of the three times,<br>To the supreme Dharma and the noble Sangha,<br>With as many bodies as atoms in all realms,<br>I bow down and pay homage."
བྱང་ཆུབ་སེམས་ཀྱི་གཞི་རྣམས་དང་། །མཆོད་རྟེན་རྣམས་ལ་བདག་ཕྱག་འཚལ། །,"I prostrate to the foundations of bodhicitta,<br>And to all the stupas."
མཁན་པོ་དེ་བཞིན་སློབ་དཔོན་དང་། །བརྟུལ་ཞུགས་མཆོག་ལ་ཕྱག་འཚལ་ལོ། །,"I pay homage to the abbot, the teacher,<br>And to those of supreme spiritual discipline."
བྱང་ཆུབ་སྙིང་པོར་མཆིས་ཀྱི་བར། །སངས་རྒྱས་རྣམས་ལ་སྐྱབས་སུ་མཆི། །,"Until I attain the essence of enlightenment, I take refuge in the Buddhas."
ཆོས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཡི། །ཚོགས་ལའང་དེ་བཞིན་སྐྱབས་སུ་མཆི། །,I also take refuge in the Dharma and in the assembly of Bodhisattvas.
ཕྱོགས་རྣམས་ཀུན་ན་བཞུགས་པ་ཡི། །རྫོགས་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས། །ཐུགས་རྗེ་ཆེན་པོ་མངའ་རྣམས་ལ། །ཐལ་མོ་སྦྱར་ཏེ་གསོལ་བ་ནི། །,"To all the perfectly enlightened Buddhas and bodhisattvas<br>Who dwell in all directions,<br>Possessing great compassion,<br>I join my palms together and pray:"
ཐོག་མ་མེད་ལྡན་འཁོར་བ་ནས། །ཚེ་རབས་འདི་འམ་གཞན་དག་ཏུ། །བདག་གིས་མ་འཚལ་སྡིག་བགྱིས་པའམ། །བགྱིད་དུ་སྩལ་བ་ཉིད་དང་ནི། །གཏི་མུག་འཁྲུལ་པས་བདག་ནོན་ཏེ། །རྗེས་སུ་ཡི་རང་གང་བགྱིས་པ། །ནོངས་པ་དེ་ནི་མཐོང་བགྱིས་ནས། །,"tags:<br><br><t><br>From beginningless time in samsara,<br>In this life or in other lives,<br>The negative actions I have committed unknowingly,<br>Or caused others to commit,<br>Or rejoiced in when committed by others,<br>Overcome by ignorance and delusion -<br>All these transgressions I now see and acknowledge."
བསམ་པ་ཐག་པས་མགོན་ལ་བཤགས། །,I sincerely confess to the Protector.
བདག་གིས་དཀོན་མཆོག་གསུམ་དང་ནི། །ཕ་མའམ་བླ་མ་གཞན་དག་ལ། །ཉོན་མོངས་སྒོ་ནས་ལུས་ངག་དང་། །ཡིད་ཀྱིས་གནོད་བགྱིས་གང་ལགས་དང་། །ཉེས་པ་དུ་མས་སྐྱོན་ཆགས་པའི། །སྡིག་ཅན་བདག་གིས་སྡིག་པ་གང་། །ཤིན་ཏུ་མི་བཟད་བགྱིས་པ་དེ། །ཐམས་ཅད་འདྲེན་པ་རྣམས་ལ་བཤགས། །,"To the Three Jewels, my parents, teachers, and others,<br>Whatever harm I have done through body, speech, and mind,<br>Driven by afflictive emotions;<br>And whatever grave misdeeds I, a sinner,<br>Have committed, stained by numerous faults,<br>All these utterly unbearable actions,<br>I confess to all the guides."
བདག་ནི་སྡིག་པ་མ་བྱང་བར། །སྔོན་དུ་འགུམ་པར་འགྱུར་དུ་མཆི། །,"tags:<br><br><t><br>Before I have purified my negative karma,<br>I may face death prematurely."
ཇི་ལྟར་འདི་ལས་ངེས་ཐར་བར། །མྱུར་བའི་ཚུལ་གྱིས་བསྐྱབ་ཏུ་གསོལ། །,"Just as [we seek] certain liberation from this [samsara],<br>I pray for swift protection [on the path]."
ཡིད་བརྟན་མི་རུང་འཆི་བདག་འདི། །བྱས་དང་མ་བྱས་མི་སྡོད་པས། །,This Lord of Death cannot be trusted;<br>He does not wait for what is done or undone.
ན་དང་མི་ན་ཀུན་གྱིས་ཀྱང་། །གློ་བུར་ཚེ་ལ་ཡིད་མི་བརྟན། །,"Whether sick or healthy, for everyone,<br>Life is suddenly unreliable."
ཐམས་ཅད་བོར་ཏེ་ཆས་དགོས་པར། །བདག་གིས་དེ་ལྟར་མ་ཤེས་ནས། །,"Though one must depart leaving everything behind,<br>I did not understand this."
མཛའ་དང་མི་མཛའི་དོན་གྱི་ཕྱིར། །སྡིག་པ་རྣམ་པ་སྣ་ཚོགས་བྱས། །,"For the sake of friends and enemies,<br>Various kinds of misdeeds have been committed."
མི་མཛའ་རྣམས་ཀྱང་མེད་འགྱུར་ཞིང་། །,Even enemies will cease to exist.
མཛའ་བ་རྣམས་ཀྱང་མེད་པར་འགྱུར། །,Even loved ones will cease to exist.
བདག་ཀྱང་མེད་པར་འགྱུར་བ་སྟེ། །,I too will become non-existent.
དེ་བཞིན་ཐམས་ཅད་མེད་པར་འགྱུར། །,"Thus, everything becomes non-existent."
རྨི་ལམ་ཉམས་སུ་མྱོང་བ་བཞིན། །དངོས་པོ་གང་དང་གང་སྤྱད་པ། །དེ་དེ་དྲན་པའི་ཡུལ་དུ་འགྱུར། །,"Like experiencing a dream,<br>Whatever objects one engages with,<br>Those become the objects of memory."
འདས་པ་ཐམས་ཅད་མཐོང་མི་འགྱུར། །,All that has passed cannot be seen again.
རེ་ཞིག་གསོན་ཚེ་འདི་ཉིད་ལ། །མཛའ་དང་མི་མཛའ་དུ་མ་འདས། །,"Even in this single lifetime,<br>Many friends and enemies have passed away."
དེ་དག་དོན་དུ་བྱས་པའི་སྡིག །མི་བཟད་གང་ཡིན་མདུན་ན་གནས། །,The unbearable sins committed for their sake<br>Stand before me now.
དེ་ལྟར་བདག་ནི་གློ་བུར་ཞེས། །བདག་གིས་རྟོགས་པར་མ་གྱུར་པས། །གཏི་མུག་ཆགས་དང་ཞེ་སྡང་གིས། །སྡིག་པ་རྣམ་པ་དུ་མ་བྱས། །,"Thus, not realizing<br>That I am impermanent,<br>Through ignorance, attachment, and anger,<br>I have committed many kinds of misdeeds."
ཉིན་མཚན་སྡོད་པ་ཡོང་མེད་པར། །ཚེ་འདི་རྟག་ཏུ་གོད་འགྱུར་ཞིང་། །,"Without pause, day and night,<br>This life constantly diminishes."
སྣོན་པ་གུད་ནས་འོང་མེད་ན། །བདག་ལྟ་འཆི་བར་ཅིས་མི་འགྱུར། །,"If there is no savior coming from elsewhere,<br>How can I not become subject to death?"
བདག་ནི་མལ་ན་འདུག་བཞིན་དུ། །གཉེན་བཤེས་ཀུན་གྱིས་མཐའ་བསྐོར་ཀྱང་། །སྲོག་འཆད་པ་ཡི་ཚོར་བ་དག །བདག་ཉིད་གཅིག་པུས་མྱོང་བར་འགྱུར། །,"tags:<br><br><t><br>Though I lie on my deathbed,<br>Surrounded by all my loved ones and friends,<br>The experience of my life-force ceasing<br>I alone must undergo."
གཤིན་རྗེའི་ཕོ་ཉས་ཟིན་པ་ལ། །གཉེན་གྱིས་ཅི་ཕན་,"When seized by the messenger of death,<br>What benefit are relatives?"
